שם מפלגה,מטרות
אחי - ארץ חברה יהדות (שם קודם: ציונות לאומית דתית מתחדשת),מטרות המפלגה :1.איחוד הכוחות בציונות הדתית (העמדת אלטרנטיבה להנהגת המדינה).2.טיפול בשכבות מצוקה בעם ובעניינים חברתיים.3טיפוח מערכת החינוך בישראל. חיזוק החינוך הדתי-לאומי והתורני-לאומי בישראל.4.חיזוק ההתיישבות בכל ארץ ישראל ושקידה על בטחון המדינה.5.החזרת האמון בפוליטיקה הישראלית. שילוב ערכים יהודים ואוניברסליים במערכת הפוליטית.
אחי ישראלי - החיבור הוא הסיפור,מטרות המפלגה:מפלגת אחי ישראלי – החיבור הוא הסיפור הינה בית פוליטי חדש המבוסס על פוליטיקה של טוב משותף - מתינות. כבוד הדדי וחתירה להסכמות. המפלגה תרתום אנשי עשייה מצדדים שונים של החברה הישראלית למהלך פוליטי משותף. בראייתנו שונות היא כוח - והחיבור זה הסיפור.לפעול לקידום אסטרטגיה חברתית-כלכלית-סביבתית משותפת. המבוססת על צמיחה מכלילה ותכליתה שוויון הזדמנויות. צמצום פערים וקיום בכבוד לכל אזרח ואזרחית. בראייתנו החינוך הוא ערך יסודי ומכשיר מרכזי לשינוי חברתי. ונתמקד בו. אנו רואים בקידום הנגב והגליל יעד מרכזי באסטרטגיה זו. נקדם תכנית לתיקון חברתי שתתעדף את הפריפריה החברתית והגאוגרפית בישראל.לפעול לקידום החיים המשותפים בישראל כמדינה יהודית. ציונית ודמוקרטית. לאפשר לקהילות השונות לשמר את זהותן מתוך הכרה באחר. כבוד הדדי והקפדה על אי כפייה.לפעול על פי הערך בקש שלום ורדפהו: לצד ביצור ביטחונה של ישראל. נפעל באופן יזום ומחדש לקידום הסכם שלום והסדרים לסיום הסכסוך עם שכנינו. תוך הבנת הצורך בפשרות משני הצדדים.לפעול למיגור השחיתות האישית והמוסדית בישראל.המפלגה רואה בשיתוף הציבור עקרון יסוד לדרך התנהלותה. תקנון המפלגה ודרך קבלת ההחלטות בה יבטאו גישה של מנהיגות משתפת.
אחים אנחנו,מטרות המפלגה:לפעול לקידום מדינת ישראל בתחומי: החברה. צדק משפטי. דמוקרטיה. שוויון עדתי ללא הפליה בין הגזעים. שמירת זכויות של אזרחיה באופן שוויוני. בטחון וכלכלה.  סגירת פערים חברתיים. כלכליים עם דגש על קידום אזרחים חלשים במיוחד.קידום חקיקת חוקים חברתיים וכלכליים שייטיבו עם האזרח החלשלרומם את השרות הצבאי בצהל ו/או השרות הלאומי כערך נעלה.לפעול לקידום זכויותיהם של חיילים/חיילות משוחררים ו/או בנות שרות לאומי משוחררות.לפעול לעליית שארית הפזורה מכל מקום בעולם.לפעול לקידום רווחתם של קשישים. לרבות ניצולי שואה וכן לאפשר לנכים לחיות בכבוד עם מוגבלותם.לחוקק חוקים שיסייעו לשכבה החלשה כלכלית לרכוש דיור ו/או לשכור מקום מגורים.לפעול לחיזוק ולבנות מערכת הסברה בין לאומית עבור מדינת ישראל.לחזק את המערכת החינוכית בארץ.
אחיעזר – מפלגה דתית מסורתית חברתית,מטרות המפלגה :1.השרשרת ערכיה הנצחיים של מסורת ישראל עפ תורת ישראל. חיזוק וביצור החינוך היהודי ומורשתו בישראל ובגולה.2.טיפוח הזהות היהודית ופעולות לקירוב לבבות וליצירת גשר של הבנה וסובלנות בין כל חלקי החברה בדרכים חינוכיות ובפעולות דמוקרטיות.3לחנך לדרכי הגינות וניקיון כפיים. יושר ואמת בין אדם לזולתו. בין היחיד לציבור ובין הציבור יחיד.4.זכות של עם ישראל על פי תורת ישראל. לחיות בגבולות ארצו בשלום ובביטחון לנצח נצחים ולנקוט את האמצעים המותרים על פי החוק כדי להבטיח את שלומו ואחיזתו בארץ ישראל. למנוע ולהסיר כל איום מבית ומחוץ.5.אכלוס ופיתוח ירושלים בירת ישראל הנצחית. שמירה על אחדותה ועל קדושתה.6.תכנית כוללת למלחמה בעוני. לטיפוח ולטיפול אפקטיבי בשכבות החלשות ובמשפחות ברוכות ילדים. עידוד הילודה דרך הסברה בתקציב ממלכתי.
אחריות לאומית - למען עתיד ילדינו,א. שמירה על הזהות היהודית של מדינת ישראל.ב. ביסוס ישראל כמדינה בעלת תודעה ציונית.ג. חיזוק מערכת החינוך.ד. חיזוק הזהות היהודית וערכי המשפחה.ה. הבטחת עתידה של ישראל כמדינה יהודית.
אחריות – לב אחד ורוח חדשה,מטרות המפלגה:לקדם בדרכי שכנוע והסברה מהפכה ערכית וחוקתית במדינה. שעיקריה יהיו: 1.חיזוק כוחו ואחריותו של האזרח 2.שיקום הקהילה והרחבת סמכויותיה כבסיס לארגון החברה. 3.בניית מערכת פוליטית יעילה הכפופה לערכים ומקימה מנהיגות ראויה. 4.טיפוח ערכי הכבוד. האחריות והבחירה בחברה. 5.חינוך לערכי היסוד הציוניים של המדינה. 
אחריות למייסדים,מטרות המפלגה: המפלגה תפעל למען זכויות אזרחי מדינת ישראל הותיקים ולצימצום קו העוני בקרב אזרחי מדינת ישראל.המפלגה תפעל למען העלאת קצבאות הזקנה ומחיה בכבוד לאוכלוסיות מוחלשות.המפלגה תפעל לייצוג הולם לאוכלוסיות מבוגרות. הגנה צרכנית ומניעת ניצול.המפלגה תפעל בנושאים חברתיים. בריאות. סיעוד. נושא חברה ופנאי. פתרונות דיור. בקרב אוכלוסיית האזרחים המבוגרים. נכים. ניצולי שואה. גמלאים ואוכלוסיות מוחלשות.
איחוד בני הברית – (איתיחאד אבנאא אלעהד) בראשות רב חובל בשארה שליאן,מטרות המפלגה: המפלגה תפעל לשילוב בין מגזרי המיעוט והרוב במדינת ישראל. למען שוויון זכויות והזדמנויות ללא אפליה על רקע מין. גזע. דת. מעמד או השקפת עולם לפי רוח מגילת העצמאות.המפלגה תגן על חופש הפולחן הדתי ועל זכות בני אדם לחיות על פי אמונתם והשקפת עולמם תוך שמירה על זכות הדדית של האחרים ותפעל למען גישור והבנה בין כלל המגזרים והקהילות.המפלגה תפעל למען היושר והצדק החברתי בכל התחומים. דבר שיאפשר לכל האזרחים לחיות בכבוד ובביטחון.המפלגה תחתור לכך שהחינוך יהווה מטרה מועדפת ותעודד פעילויות ספורט ותרבות.המפלגה תפעל למען שילוב כל העדות. המגזרים והקהילות במרקם החיים במדינת ישראל תוך שמירה על הזהות וזכויות בחלוקה צודקת.
אלאמל לתעייר,מטרות: חתירה לשלום עם שכנינו ומאבק על דמותה הדמוקרטית של ישראל.להעצים ולקדם את האוכלוסיה האזרחית במגזר הערבי במדינת ישראל תוך שימת דגש על החינוך. הרווחה. התחבורה. מערכת הבריאות הציבורית ודיור בר השגה.לפעול לשוויון הזכויות ולצדק חברתי במדינת ישראל בכלל ולאוכלוסיה האזרחית הערבית בישראל בפרט. 
אלמסתקבל אלערבי - העתיד הערבי,מטרות המפלגה: קידום ענייני האוכלוסייה הערבית במדינת ישראל והשגת שלום אזורי.השתתפות בכל פעילות פוליטית וחברתית לקידום מעמד החברה הערבית.קידום ושילוב מעמד האישה הערבית בחברה הישראלית וקידום ושילוב בעלי מוגבלויות בחברה הישראלית.טיפול וקידום בענייני חינוך. תרבות וספורט לחברה הערבית.
אלתגמוע אלווטני אלדמוקרטי,מטרות המפלגה:1.חקיקת חוקה אשר תבטיח דמוקרטיה. פלורליזם פוליטי. צדק חברתי. שוויון. זכויות האדם והאזרח. חופש דת ואמונה ללא כפיה. וביטול כל סוג של אפליה.2.מדינת ישראל תהיה מדינה לכל אזרחיה.3.הכרה באזרחים הערביים כמיעוט לאומי הזכאי לניהול עצמי בעניינים תרבותיים המבדילים אותו משאר האזרחים.4.קידום ופיתוח כלכלי וחברתי של המיעוט הלאומי הערבי.5.קידום מעמד האשה. והבטחת שוויון בין נשים וגברים.6.שיתוף פעולה עם הכוחות היהודיים הדוגלים במטרות דומות.7.פיתרון השאלה הפלסטינית על ביס הקמת מדינה פלסטינית עצמאית בשטחים שנכבשו מאז 1967. ובירתה ירושלים המזרחית.8.הקמת סדר איזורי. דמוקרטי. על בסיס שוויון והסכמה בין המדינות והעמים באיזור. וכן סדר עולמי המבוסס על אותם העקרונות. 
אנחנו ביחד לסדר חברתי חדש,מטרות המפלגה:תיקון שיטת הבחירות - מהפכה בהתנהלות השלטונית. על ידי תיקון שיטת הבחירות. שמטרתה לייצר הכרעה. יציבות ומשילות.שינוי השיח הציבורי - מעבר לשיח ציבורי מכבד ומאחד.מהפכת החינוך - העלאת נושא החינוך לראש סדר העדיפות הלאומי.מגילת העצמאות - חיזוק אופייה היהודי והדמוקרטי של מדינת ישראל. ברוח מגילת העצמאות הרחבת לימודי יהדות עם דגש על מוסר יהודי. יצירת חוקה מוסכמת. חיזוק הממשל. הפרדת רשויות.מגילת העצמאים - מהפכה במעמד העצמאים במדינת ישראל. מתוך הבנה שהעצמאים הקטנים והבינוניים תופסים נתח הולך וגדל משוק העבודה. חקיקה מקיפה לשיפור מעמד העצמאים בישראל.טיפול בשחיתות הציבורית - קבלת מועמדים בהתאם לכישורים ולא בהתאם לקשרים. שינוי יסודי בהתנהלות רשויות השלטון. 
ארגון הפעולה הדמוקרטי – דעם,מטרות המפלגה :1.השגתו של שלום צודק במזהת המבוסס על החלטות האום והחוקיות הבינלאומית. אשר עיקרן קובע את הצורך לנסיגה ישראלית מהשטחים שנכבשו ב-1967 והכרה בזכותו של העם הפלסטיני להגדרה עצמית ולהקמת מדינתו העצמאית לצידה של מדינת ישראל.2.פעולה לקראת דמוקרטיזציה של מדינת ישראל והשגת שוויון מלא לאוכלוסיה הערבית.3.יזמה להקמתה של מסגרת איגוד מקצועית עצמאית שתגן על זכויותיהם ומעמדם של הפועלים בישראל.
ארץ חדשה,מטרות המפלגה:הפלת שלטון ההון בישראל.הצלת הדמוקרטיה הישראלית.השבת הכבוד האבוד לאזרחית ולאזרח בישראל כי כולם שווים בפני האל.
ארץ ישראל שלנו - מפלגה יהודית מאוחדת לשלמות התורה העם והארץ,מטרות המפלגה :1.ארץ ישראל לגבולותיה המפורטים בתורה. שייכת לעם ישראל. אין אפשרות למסור אפילו שעל אחד ממנה לשלטון זר. בנוסף לזאת. מסירת חלקים מארץ ישראל לערבים. מעמידה בסכנה קיומית מיליוני יהודים. 2.לכן אין להצטרף או לתמוך בממשלה. המדברת עם אומות העולם על מסירת שטחים מארץ ישראל. וכש על עקירת ישובים. 3.יש ליישב את כל חלקי הארץ. ולחתור למצב בו יוקמו מחדש גם הישובים שנעקרו בעבר. 4.תוקדש מלחמת חורמה בטרור. אין לשחרר מחבלים. ואין לסייע לאויב בשום דרך שהיא. כולל בכסף. חשמל. חומרי בניה וכדומה. 5.התורה הקדושה. ערכי המוסר והטהרה של היהדות. וחוקי המשפט העברי. יהיו הבסיס הערכי והמוסרי של העם היהודי היושב בציון. ערכים אלו ילמדו גם בכל בתי הספר היהודיים. 6.יתוקן חוק השבות באופן שיאמר בו. כי יהודי הוא מי שנולד לאם יהודיה או שנתגייר כהלכה. 7.הממשלה תעודד משפחות ברוכות ילדים. ותסייע להם בקצבאות חודשיות. כפי שהיה נהוג בעבר. כמוכ תונהג מדיניות רווחה אמיתית כלפי כל סוגי הנזקקים והחלשים. 8.הסיוע של הממשלה למוסדות וליחידים. ינתן לכל שכבות הציבור הנאמנים לעם ולארץ. בלי הבדל עדה או מקום מוצא. כולל לבני המיעוטים. 9.משרדי הממשלה ישוו בחוק ברור וקבוע. את גובה השתתפותם בחינוך ותרבות תורניים. לזה הניתן לחינוך ותרבות מסוג אחר.
בטח– ביטחון חברתי,המשך חיזוק וביסוס מדינת ישראל כמדינה יהודית ודמוקרטית ושינוי סדר העדיפויות הלאומי למען הציבור בישראל. אך לא רק. בנושאים הבאים:חינוך.מדיניות רווחה.מאבק למען שיוויון נשיאה בנטל בין כל אזרחי ישראל.פיתוח תשתיות לאומיות.חוק. משפט ובטחון פנים. תוך ייעול מערכת אכיפת החוק.מערכת בריאות.ביטחון וחתירה לשלום.מאבק בשחיתות.
ביחד בראשות יום טוב סמיה (ביטחונית. יהודית-ישראלית. חברתית-חינוכית. דמוקרטית),מטרות המפלגה:ביחד הינה מפלגת מרכז לאומי-פרגמטי דמוקרטית. החזון הלאומי בו אנו דוגלים: מדינת ישראל הינה מדינה יהודית-דמוקרטית. המקדשת את החירות ואת שלטון החוק והמשפט; מדינה חד לאומית הכוללת רוב יהודי מוצק ביחד עם המיעוטים אשר קשרו גורלם עם המדינה. והשואפת לביטחון ושלום בגבולות בטוחים ומוגדרים; מדינה הדואגת לרווחת תושביה ומקפידה על שוויון הזכויות והחובות של כלל אזרחיה. מדינה המבחינה בתבונה בין דת ומדינה לצד שימורה כביתו היחיד של העם היהודי. תוך כבוד הדדי לאזרחיה שאינם יהודים. ברוח מגילת העצמאות.מפלגה אשר תפעל בכל תחומי הליבה בחיי החברה והמדינה – לא מפלגת נישה.בתחום החברתי תתמקד המפלגה בצמצום הפערים החברתיים על ידי הורדת יוקר המחייה. דרישה מכלל תושבי המדינה להשתתף בנטל השרות בצהל והשירות הלאומי/אזרחי. תכנית דור לדור. בה מחד. נדאג לצעירים הכמהים למימוש עצמי בישראל כמדינה שטוב לחיות בה בכל גיל. ומאידך נפעל לשיפור חיי האזרחים הוותיקים הגמלאים והקשישים. לחיים בכבוד. נעמוד על רפורמה בתחום הרפואה הציבורית – מערכת בריאות שתהיה טובה לנחלת הכלל ולא רק לבעלי ממון.בתחום החוסן הביטחוני לאומי נציג באומץ את האמת והעקרונות בנוגע לסוגיה הפלסטינית (תכנית 6 העקרונות אשר תתפרסם במצע המפלגה) ונייצר הרתעה כלפי האויבים מהחוץ. לצד התמקדות בנושאי פנים חברתיים. שהם המנוע העיקרי לאופטימיות אשר לה זקוקים תושבים במדינה.בתחום החינוך נדאג להשכלה גבוהה נגישה. לחינוך חינם באמת (ללא הטעיות) ולתקציבי מופ כאחוז קבוע מהתלג.כשירות לציבור. ניאבק בשחיתות ובכלכלה השחורה ונצמצם את הביורוקרטיה. צעדים אשר יהיו מקור כספי למימון השינויים שנבצע בהפחתת יוקר המחייה (דיור ומוצרי בסיס לקיום) ובקביעת שכר מינימום גבוהה יותר מהקיים.בתחום איכות הסביבה והקיימות. נגיע לייצור אנרגיה ש-50% ממנו יתבסס על מקורות של אנרגיות מתחדשות ואלטרנטיביות. נעמוד על החקלאות כערך ולא רק כמחיר העגבנייה על השולחן.חתירה לאחדות לאומית: מיד עם ההכרזה על יסודה של המפלגה. תצא קריאה אל כל מפלגות המרכז הציוניות לשם חבירה והתמזגות על בסיס דמוקרטי. נטול אגו. תחילה נפנה אל אותם גורמים רלוונטיים שאינם מיוצגים כיום בכנסת ה- 20. ובהמשך אל מפלגות נוספות על מנת להקים גוש לאומי במרכז המפה הפוליטית. אשר יאפשר הקמת קואליציה ללא מפלגות קיצוניות מימין או משמאל.
ברית עולם,מטרות המפלגה :1.ללכת ביושר. באומץ ובראש מורם אל עבר העתיד.2.לכבד את מקומו של האדם באשר הוא. ללא הבדל דת. גזע או מין3ללמוד וללמד את הדומה בין בני האדם לשם יצירת מורשת ראויה עבור ילדינו.4.לבנות ולבסס כלכלה מתקנת אשר מתקדמת באדם. בבריאותו. באושרו. בהשכלתו. בפרנסתו וברווחתו.5.לממש העדפה מתקנת ושוויון הזדמנויות ממשי לנשים ולכל הקהילות הסובלות מאפליה.6.לפתח אורח חיים כלכלי – תעשייתי.חקלאי.אורבאני וכפרי המקפיד על איכות הסביבה ופועל להשבחתה.7.לעצב תפיסה שמקדשת את השלום. האחריות החברתית. העצמיות האישית והחופש של כל אחת ואחד מאיתנו.8.ברית עולם מאמינה באנשים. אי לכך נעשה ככל שביכולתנו לפתח את ההון האנושי במדינת ישראל.9.עשרת הדברות הם הבסיס המוסרי של תנועת ברית עולם.
גימלאי ישראל לכנסת - גיל,מטרות המפלגה :1.לקדם ולהעלות את נושא הגימלאיות והגימלאים אל סדר העדיפויות הלאומי של מדינת ישראל. להבטיח זכויותיהם ומעמדם בחוק ולפעול למען שילובם בחברה ובקהילה.2.לכלול בחוק ביטוח בריאות ממלכתי את האשפוז הסיעודי והשרותים הרפואיים הנדרשים לשמירת בריאותם של הגימלאיות והגימלאים בישראל.3.לפעול להקצאת משאבים ממלכתיים וציבוריים. להקמת דיור מוגן. בתי אבות. בתי חולים סיעודיים ומרכזי יום וכן להוריד את העלות הכספית עבור הנזקקים להם.4.לפעול לחקיקת חוק פנסיה ממלכתית ולהטחת מתן קצבאות זקנה לכל הגימלאים. תוך שמירת ערכן הריאלי של הקצבאותף הפנסיה התקציבית והמצטברת לגימלאים ולשאריהם.
גשר - בראשות אורלי לוי אבקסיס,מטרות המפלגה:הקמת כוח חברתי חדש המחויב לעשייה ציבורית שוחרת טוב ולשיח ציבורי אחראי. פתוח ומכבד.5 הממים - מזון. מעון. מלבוש. מורה ומרפא: עמידה על 5 הממים באופן המבטיח קיום בכבוד לכלל אוכלוסיות ישראל. והבטחת חוסנה החברתי-כלכלי של החברה ואזרחיה.קידום שיח מתון בין המגזרים השונים והכלה תרבותית-חברתית של קבוצות האוכלוסיה השונות בישראל.חיזוק שלטון החוק. על מוסדותיו. שמירה על טוהר המידות ומאבק בשחיתות השלטונית.חתירה לשלום תוך עמידה על בטחונה ואופיה של מדינת ישראל כמדינתו של העם היהודי וערכיה הדמוקרטיים.צמצום אי השוויון בתקצוב שירותים חברתיים וחיזוק הפריפריה הגיאוגרפית והחברתית.מחויבות להילחם על זכות היסוד לקורת גג קבועה ויציבה לאזרחי ישראל. תוך מציאת פתרונות דיור מגוונים וראויים לאוכלוסיות השונות. מאבק על הזכות לדיור ציבורי. בניה ציבורית ושוויון ביכולת להגיע לדירה.קידום מעמדן של נשים והגדלת הייצוג הנשי במוקדי קבלת החלטות מתוך הבנה ששוויון לנשים חיוני לחוסנה הכלכלי. החברתי והפוליטי של מדינת ישראל.השקעה בחינוך ככלי לצמצום פערים חברתיים שבכוחו ליצור שוויון הזדמנויות מהותי לכלל ילדי ישראל.תיקון עיוותים בשוק העבודה. תוך קידומם וחיזוקם של העסקים הקטנים והבינוניים.המפלגה תפעל לשינוי שיטת הבחירות לכנסת לשיטת בחירות רשימתית גמישה. כך שביום הבחירות. יוכלו הבוחרים לסמן את מועמדי המפלגה המועדפים עליהם.
דמוקראטורה – מפלגה להגשמת הציונות וערכי הדמוקראטורה,מטרות המפלגה: 1.   שינוי שיטת הבחירות. בחירת ראש הממשלה. הנשיא וחברי הכנסת.2.   חוקה חדשה למדינת ישראל.3.   שינויים בכל מערכות ישראל.
דמוקרטית חירות שוויון וערבות הדדית,nan
דרך ארץ, מטרות המפלגה: 1. מימוש זכותו הטבעית וההיסטורית של העם היהודי לתקומה לאומית בארץ ישראל.2. ביסוס זהותה של ישראל כמדינתו הדמוקרטית של העם היהודי. הגנה על ערכיה כמדינת הלאום של העם היהודי. המקפידה על זכויות אדם ונוהגת שוויון זכויות פרט ושוויון חובות לכל.3. מדינת ישראל תהא מדינת מופת המקיימת קוממיות ממלכתית. ומחוייבת לאמון וכבוד בין מוסדות השלטון שלה. ובינם לבין אזרחיה. 4. הבנית זהות לאומית היונקת ממסורת ישראל. ערכיו ומורשתו ההיסטורית של העם היהודי; יצירת הוויה משותפת שאינה כופה על איש לוותר על קדושיו ועיקריו. ומאפשרת פרהסיה בה נשמר כבודם של כלל מרכיבי החברה הישראלית. הכל בדרך של הדברות והסכמות.  5. אחדות העם - ביצור חוסנה של מדינת ישראל באמצעות העצמת הלכידות החברתית. שותפות הגורל ואחווה אזרחית. 6. העצמת ירכתי ארץ ופיתוח הארץ לטובת כל תושביה. עידוד ההתיישבות והחקלאות בגליל ובנגב. בשומרון וביהודה. ובשדרה המזרחית - מרמת הגולן. לאורכו של הירדן והערבה בואכה אילת. 7. מימוש ריבונות בשטחי מולדת.8. עידוד כלכלה חופשית תוך הבטחת הזדמנות הוגנת לכל ומחויבות לערבות הדדית.9. שמירת עוצמתה של ישראל. הבטחת הבטחון הלאומי וההגנה על גבולות ישראל. ועל אזרחיה.10. שמירה על יעודה של מדינת ישראל כביתו הלאומי של העם היהודי. עידוד עליה וקיבוץ גלויות. טיפוח עתיד משותף וזהות קיבוצית לעם היהודי על תפוצותיו. מתוך רצון להגשמת שאיפת הדורות לגאולת ישראל.
דתי לאומי ישראלי למען כלל ישראל,מטרות המפלגה הן:א. קידום ערכיו ועקרונותיו של הציבור הדתי הלאומי.ב. העמקת האחדות בעם.ג. חיזוק ערכי היהדות והמסורת.ד. טיפוח הערבות ההדדית.
